Venue,Date,Round,Question,category,question,answer list
ThinkTank Bistro,20110406,1,1,Comic Books,What comic and issue did superman first appear in?,Action #1
ThinkTank Bistro,20110406,1,2,Geometry,Name all the sides of a right triangle,"Opposite, Adjascent, Hypotenuse"
ThinkTank Bistro,20110406,1,3,Science Fiction,Who coined the term Cyberspace?,William Gibson
ThinkTank Bistro,20110406,1,4,Monty Python,Name a dead member of Monty Python,Graham Chapman
ThinkTank Bistro,20110406,2,1,Computers,What is the oldest registered domain?,symbolics.com
ThinkTank Bistro,20110406,2,2,Music Theory,How many #s in the key of CM,0
ThinkTank Bistro,20110406,2,3,Prizes,What family has won the most Nobel Prizes,Curie
ThinkTank Bistro,20110406,2,4,Fantasy,Who are the authors of the original Dragonlance novels?,Weiss/ Hickman
ThinkTank Bistro,20110406,3,1,Video Games,"What is the Konami Code (On NES, Represent as buttons)","u,u,d,d,l,r,l,r,b,a"
ThinkTank Bistro,20110406,3,2,Calculus,What is (x3)',3x2
ThinkTank Bistro,20110406,3,3,Library Sciences,Where in the Dewey Decimal System is Science,500's
ThinkTank Bistro,20110406,3,4,Science Fiction,What is a TARDIS,Time And Relative Dimension In Space
ThinkTank Bistro,20110406,4,1,Food Science,What does it mean to prepare something Sous Vide,Wing it.
ThinkTank Bistro,20110406,4,2,Algebra,Name the quadratic formula,((-b ± SQ(b2 - 4ac))/2a)
ThinkTank Bistro,20110406,4,3,Board Games,"In settlers of catan, what is required to build a road?",A brick and lumber
ThinkTank Bistro,20110406,4,4,Fantasy,What “Lord of the Rings” character was present at the first defeat of Sauron?,Elrond
ThinkTank Bistro,20110406,Final,1,Science Fiction,Name three movies adapted from Phillip K. Dick properties,"Blade Runner, Total Recall, Next, Paycheck, Minority Report, The Adjustment Bureau, Screamers, Impostor, Radio Free Albemuth"
ThinkTank Bistro,20110406,Final,2,Biology,Name two kinds of RNA,"mRNA, rRNA, tRNA"
ThinkTank Bistro,20110504,1,1,Astronomy,What is a lagrangian point?,The point between two bodies where gravity on a third body is equal.
ThinkTank Bistro,20110504,1,2,Comic Books,What comic series was written by both Alan Moore & Neil Gaiman?,Miracleman/Marvelman
ThinkTank Bistro,20110504,1,3,Science Fiction,What is the spice?,The Worm.
ThinkTank Bistro,20110504,1,4,Famous Scientists,Who invented salted peanuts?,George Washington Carver
ThinkTank Bistro,20110504,2,1,Superheros,Who knows what evil lurks in the heart of men?,The Shadow Knows
ThinkTank Bistro,20110504,2,2,Math,Draw a Mandlebrot Set ,
ThinkTank Bistro,20110504,2,3,Weights & Measures,What does “SI” stand for in “SI Unit”?,Système international d'unités
ThinkTank Bistro,20110504,2,4,Engineering,What type of bridge is the Zakim Bridge?,Cable stayed
ThinkTank Bistro,20110504,3,1,Math,What mathemetical measure represent the observed relationship between acceleration and velocity?,deriviative
ThinkTank Bistro,20110504,3,2,Chess,What is the first move that indicates the start of the Scilian Defense,1. ... c5 (black’s first move is pawn to c5)
ThinkTank Bistro,20110504,3,3,Food Science,"What restauraunt, currently closing down, is considered the birthplace of molecular gastronomy",El Bulli
ThinkTank Bistro,20110504,3,4,Computers,What is the average-case efficiency of a quicksort?,O(nlogn)
ThinkTank Bistro,20110504,4,1,Science Fiction,What is located in sector ZZ9ZZA,Earth
ThinkTank Bistro,20110504,4,2,Home Computing,What storage medium is used by the Coleco Adam?,cassette tape
ThinkTank Bistro,20110504,4,3,Engineering,"Which of these are the same class of lever? seesaw, tweezers, wheelbarrow, crowbar","seesaw, crowbar"
ThinkTank Bistro,20110504,4,4,Geography,What is another name for Electric Town in Tokyo? (spelling doesn’t count),Akihabara
ThinkTank Bistro,20110504,Final,,Sports,What is the value of scoring a goal with a Quaffle?,10 points
ThinkTank Bistro,20110504,Final,,Video Games,Who played Luigi in the Super Mario Brothers movie?,John Leguzamo
ThinkTank Bistro,20110601,1,1,Beer,Prior to 1988 German beer was required to be brewed with only what three ingredients?,"Water, Hops, Malt"
ThinkTank Bistro,20110601,1,2,Science Fiction,"What does the ""D"" in NCC-1701D represent?",The ordinal of the ship with the registration NCC-1701
ThinkTank Bistro,20110601,1,3,Computers,What does EPROM stand for?,Erasable Programmable Read Only Memory
